Iteration, Array Size, Swaps, Time
1, 2, 1, 0.000000
2, 4, 3, 0.000000
3, 8, 10, 0.000000
4, 16, 27, 0.000000
5, 32, 87, 0.000000
6, 64, 234, 0.000000
7, 128, 603, 0.000000
8, 256, 1541, 0.000083
9, 512, 3732, 0.000083
10, 1024, 9054, 0.000166
11, 2048, 22206, 0.000499
12, 4096, 53054, 0.001330
13, 8192, 126745, 0.003075
14, 16384, 299765, 0.005569
15, 32768, 733035, 0.014794
16, 65536, 1718478, 0.022939
17, 131072, 3985187, 0.047583
18, 262144, 8905143, 0.099073
19, 524288, 18414980, 0.204703
20, 1048576, 36933847, 0.429652
21, 2097152, 75254189, 0.922735
22, 4194304, 152167174, 1.992576
23, 8388608, 299505407, 4.493960
24, 16777216, 614378207, 10.875027
25, 33554432, 1217292012, 26.498074
26, 67108864, 2432756779, 50.548767
27, 134217728, 4831292999, 111.548744
28, 268435456, 9782332410, 231.524231
